bulan,tahun,kode_trayek,trayek,jumlah_penumpang,jenis
Januari,2019,8C,KEBAYORAN LAMA - TANAH ABANG,80413,ANGKUTAN UMUM INTEGRASI
Februari,2019,8C,KEBAYORAN LAMA - TANAH ABANG,71673,ANGKUTAN UMUM INTEGRASI
Maret,2019,8C,KEBAYORAN LAMA - TANAH ABANG,87287,ANGKUTAN UMUM INTEGRASI
April,2019,8C,KEBAYORAN LAMA - TANAH ABANG,90598,ANGKUTAN UMUM INTEGRASI
Mei ,2019,8C,KEBAYORAN LAMA - TANAH ABANG,92.596,ANGKUTAN UMUM INTEGRASI
Juli,2019,8C,KEBAYORAN LAMA - TANAH ABANG,89.628,ANGKUTAN UMUM INTEGRASI
Agustus,2019,8C,KEBAYORAN LAMA - TANAH ABANG,90.145,ANGKUTAN UMUM INTEGRASI
September,2019,8C,KEBAYORAN LAMA - TANAH ABANG,75.36,ANGKUTAN UMUM INTEGRASI
Oktober,2019,8C,KEBAYORAN LAMA - TANAH ABANG,75.36,ANGKUTAN UMUM INTEGRASI
November,2019,8C,KEBAYORAN LAMA - TANAH ABANG,84.037,ANGKUTAN UMUM INTEGRASI
Desember,2019,8C,KEBAYORAN LAMA - TANAH ABANG,"68,911",ANGKUTAN UMUM INTEGRASI
Januari,2019,8D,BLOK M - JOGLO,73632,ANGKUTAN UMUM INTEGRASI
Februari,2019,8D,BLOK M - JOGLO,61478,ANGKUTAN UMUM INTEGRASI
Maret,2019,8D,BLOK M - JOGLO,77245,ANGKUTAN UMUM INTEGRASI
April,2019,8D,JOGLO - BLOK M,76844,ANGKUTAN UMUM INTEGRASI
Mei ,2019,8D,JOGLO - BLOK M,76.728,ANGKUTAN UMUM INTEGRASI
Juli,2019,8D,JOGLO - BLOK M,89.633,ANGKUTAN UMUM INTEGRASI
Agustus,2019,8D,JOGLO - BLOK M,89.86,ANGKUTAN UMUM INTEGRASI
September,2019,8D,JOGLO - BLOK M,89.23,ANGKUTAN UMUM INTEGRASI
Oktober,2019,8D,JOGLO - BLOK M,89.23,ANGKUTAN UMUM INTEGRASI
November,2019,8D,JOGLO - BLOK M,92.288,ANGKUTAN UMUM INTEGRASI
Desember,2019,8D,JOGLO - BLOK M,"86,605",ANGKUTAN UMUM INTEGRASI
Januari,2019,8E,BLOK M - BINTARO KODAM,44576,ANGKUTAN UMUM INTEGRASI
Februari,2019,8E,BLOK M - BINTARO KODAM,39339,ANGKUTAN UMUM INTEGRASI
Maret,2019,8E,BLOK M - BINTARO KODAM,50357,ANGKUTAN UMUM INTEGRASI
April,2019,8E,BINTARO - BLOK M,48356,ANGKUTAN UMUM INTEGRASI
Mei ,2019,8E,BINTARO - BLOK M,48.917,ANGKUTAN UMUM INTEGRASI
Juli,2019,8E,BINTARO - BLOK M,56.618,ANGKUTAN UMUM INTEGRASI
Agustus,2019,8E,BINTARO - BLOK M,56.492,ANGKUTAN UMUM INTEGRASI
September,2019,8E,BINTARO - BLOK M,58.612,ANGKUTAN UMUM INTEGRASI
Oktober,2019,8E,BINTARO - BLOK M,58.612,ANGKUTAN UMUM INTEGRASI
November,2019,8E,BINTARO - BLOK M,61.023,ANGKUTAN UMUM INTEGRASI
Desember,2019,8E,BINTARO - BLOK M,"55,69",ANGKUTAN UMUM INTEGRASI
Januari,2019,8K,TANAH ABANG - BATU SARI,19579,ANGKUTAN UMUM INTEGRASI
Februari,2019,8K,TANAH ABANG - BATU SARI,20446,ANGKUTAN UMUM INTEGRASI
Maret,2019,8K,TANAH ABANG - BATU SARI,27604,ANGKUTAN UMUM INTEGRASI
April,2019,8K,BATUSARI - TANAH ABANG,31531,ANGKUTAN UMUM INTEGRASI
Mei ,2019,8K,BATUSARI - TANAH ABANG,30.964,ANGKUTAN UMUM INTEGRASI
Juli,2019,8K,BATUSARI - TANAH ABANG,34.794,ANGKUTAN UMUM INTEGRASI
Agustus,2019,8K,BATUSARI - TANAH ABANG,41.846,ANGKUTAN UMUM INTEGRASI
September,2019,8K,BATUSARI - TANAH ABANG,44.507,ANGKUTAN UMUM INTEGRASI
Oktober,2019,8K,BATUSARI - TANAH ABANG,44.507,ANGKUTAN UMUM INTEGRASI
November,2019,8K,BATUSARI - TANAH ABANG,46.848,ANGKUTAN UMUM INTEGRASI
Desember,2019,8K,BATUSARI - TANAH ABANG,"45,704",ANGKUTAN UMUM INTEGRASI
Januari,2019,9D,PASAR MINGGU - TANAH ABANG,104496,ANGKUTAN UMUM INTEGRASI
Februari,2019,9D,PASAR MINGGU - TANAH ABANG,94222,ANGKUTAN UMUM INTEGRASI
Maret,2019,9D,PASAR MINGGU - TANAH ABANG,107843,ANGKUTAN UMUM INTEGRASI
April,2019,9D,PASAR MINGGU - TANAH ABANG,108139,ANGKUTAN UMUM INTEGRASI
Mei ,2019,9D,PASAR MINGGU - TANAH ABANG,99.546,ANGKUTAN UMUM INTEGRASI
Juli,2019,9D,PASAR MINGGU - TANAH ABANG,134.679,ANGKUTAN UMUM INTEGRASI
Agustus,2019,9D,PASAR MINGGU - TANAH ABANG,142.884,ANGKUTAN UMUM INTEGRASI
September,2019,9D,PASAR MINGGU - TANAH ABANG,140.745,ANGKUTAN UMUM INTEGRASI
Oktober,2019,9D,PASAR MINGGU - TANAH ABANG,140.745,ANGKUTAN UMUM INTEGRASI
November,2019,9D,PASAR MINGGU - TANAH ABANG,155.916,ANGKUTAN UMUM INTEGRASI
Desember,2019,9D,PASAR MINGGU - TANAH ABANG,"147,45",ANGKUTAN UMUM INTEGRASI
Januari,2019,9E,KEBAYORAN LAMA - GROGOL 2,58748,ANGKUTAN UMUM INTEGRASI
Februari,2019,9E,KEBAYORAN LAMA - GROGOL 2,57126,ANGKUTAN UMUM INTEGRASI
Maret,2019,9E,KEBAYORAN LAMA - GROGOL 2,63057,ANGKUTAN UMUM INTEGRASI
April,2019,9E,KEBAYORAN LAMA - GROGOL 2,61785,ANGKUTAN UMUM INTEGRASI
Mei ,2019,9E,KEBAYORAN LAMA - GROGOL 2,62.067,ANGKUTAN UMUM INTEGRASI
Juli,2019,9E,KEBAYORAN LAMA - GROGOL 2,68.567,ANGKUTAN UMUM INTEGRASI
Agustus,2019,9E,KEBAYORAN LAMA - GROGOL 2,67.608,ANGKUTAN UMUM INTEGRASI
September,2019,9E,KEBAYORAN LAMA - GROGOL 2,64.808,ANGKUTAN UMUM INTEGRASI
Oktober,2019,9E,KEBAYORAN LAMA - GROGOL 2,64.808,ANGKUTAN UMUM INTEGRASI
November,2019,9E,KEBAYORAN LAMA - GROGOL 2,71.977,ANGKUTAN UMUM INTEGRASI
Desember,2019,9E,KEBAYORAN LAMA - GROGOL 2,"62,755",ANGKUTAN UMUM INTEGRASI
Januari,2019,9H,BLOK M - CIPEDAK,45502,ANGKUTAN UMUM INTEGRASI
Februari,2019,9H,BLOK M - CIPEDAK,39103,ANGKUTAN UMUM INTEGRASI
Maret,2019,9H,BLOK M - CIPEDAK,51.02,ANGKUTAN UMUM INTEGRASI
April,2019,9H,CIPEDAK - BLOK M,52657,ANGKUTAN UMUM INTEGRASI
Mei ,2019,9H,CIPEDAK - BLOK M,49.17,ANGKUTAN UMUM INTEGRASI
Juli,2019,9H,CIPEDAK - BLOK M,67.007,ANGKUTAN UMUM INTEGRASI
Agustus,2019,9H,CIPEDAK - BLOK M,64.297,ANGKUTAN UMUM INTEGRASI
September,2019,9H,CIPEDAK - BLOK M,64.11,ANGKUTAN UMUM INTEGRASI
Oktober,2019,9H,CIPEDAK - BLOK M,64.11,ANGKUTAN UMUM INTEGRASI
November,2019,9H,CIPEDAK - BLOK M,73.213,ANGKUTAN UMUM INTEGRASI
Desember,2019,9H,CIPEDAK - BLOK M,"66,439",ANGKUTAN UMUM INTEGRASI
Juli,2019,10E,PULO GEBANG - TANJUNG PRIUK,0,ANGKUTAN UMUM INTEGRASI
Oktober,2019,10F,LRT PEGANGSAAN - KELAPA GADING,0,ANGKUTAN UMUM INTEGRASI
November,2019,10F,LRT PEGANGSAAN - KELAPA GADING,876,ANGKUTAN UMUM INTEGRASI
Desember,2019,10F,LRT PEGANGSAAN - KELAPA GADING,"4,616",ANGKUTAN UMUM INTEGRASI
September,2019,10K,SENIN - TANJUNG PRIOK,2.866,ANGKUTAN UMUM INTEGRASI
Oktober,2019,10K,SENIN - TANJUNG PRIOK,2.866,ANGKUTAN UMUM INTEGRASI
November,2019,10K,SENIN - TANJUNG PRIOK,39.077,ANGKUTAN UMUM INTEGRASI
Desember,2019,10K,SENIN - TANJUNG PRIOK,"58,633",ANGKUTAN UMUM INTEGRASI
Januari,2019,11A,PULO GEBANG - RAWAMANGUN,12366,ANGKUTAN UMUM INTEGRASI
Februari,2019,11A,PULO GEBANG - RAWAMANGUN,9716,ANGKUTAN UMUM INTEGRASI
Maret,2019,11A,PULO GEBANG - RAWAMANGUN,9877,ANGKUTAN UMUM INTEGRASI
April,2019,11A,PULO GEBANG - RAWAMANGUN,10304,ANGKUTAN UMUM INTEGRASI
Mei ,2019,11A,PULO GEBANG - RAWAMANGUN,9.626,ANGKUTAN UMUM INTEGRASI
Juli,2019,11A,PULO GEBANG - RAWAMANGUN,12.089,ANGKUTAN UMUM INTEGRASI
Agustus,2019,11A,PULO GEBANG - RAWAMANGUN,15.87,ANGKUTAN UMUM INTEGRASI
September,2019,11A,PULO GEBANG - RAWAMANGUN,16.053,ANGKUTAN UMUM INTEGRASI
Oktober,2019,11A,PULO GEBANG - RAWAMANGUN,16.053,ANGKUTAN UMUM INTEGRASI
November,2019,11A,PULO GEBANG - RAWAMANGUN,17.462,ANGKUTAN UMUM INTEGRASI
Desember,2019,11A,PULO GEBANG - RAWAMANGUN,"17,591",ANGKUTAN UMUM INTEGRASI
Januari,2019,11D,PULO GEBANG - PULO GADUNG (VIA PIK),78573,ANGKUTAN UMUM INTEGRASI
Februari,2019,11D,PULO GEBANG - PULO GADUNG (VIA PIK),71.86,ANGKUTAN UMUM INTEGRASI
Maret,2019,11D,PULO GEBANG - PULO GADUNG (VIA PIK),80394,ANGKUTAN UMUM INTEGRASI
Mei ,2019,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),69.45,ANGKUTAN UMUM INTEGRASI
Juli,2019,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),88.443,ANGKUTAN UMUM INTEGRASI
Agustus,2019,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),86.907,ANGKUTAN UMUM INTEGRASI
September,2019,11D,PULOGEBANG - PULOGADUNG 2 VIA PIK,83.859,ANGKUTAN UMUM INTEGRASI
Oktober,2019,11D,PULOGEBANG - PULOGADUNG 2 VIA PIK,83.859,ANGKUTAN UMUM INTEGRASI
November,2019,11D,PULOGEBANG - PULOGADUNG 2 VIA PIK,89.221,ANGKUTAN UMUM INTEGRASI
Desember,2019,11D,PULOGEBANG - PULOGADUNG 2 VIA PIK,"93,599",ANGKUTAN UMUM INTEGRASI
Juli,2019,11E,PULO GEBANG - LEBAK BULUS,0,ANGKUTAN UMUM INTEGRASI
Juli,2019,11F,PULO GEBANG - PASAR MINGGU,0,ANGKUTAN UMUM INTEGRASI
Juli,2019,11H,PULO GEBANG - PINANG RANTI,0,ANGKUTAN UMUM INTEGRASI
Januari,2019,11Q,PULO GEBANG - KAMPUNG MELAYU VIA BKT,54884,ANGKUTAN UMUM INTEGRASI
Februari,2019,11Q,PULO GEBANG - KAMPUNG MELAYU VIA BKT,50486,ANGKUTAN UMUM INTEGRASI
Mei ,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,51.088,ANGKUTAN UMUM INTEGRASI
Juli,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,62.915,ANGKUTAN UMUM INTEGRASI
Agustus,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,64.817,ANGKUTAN UMUM INTEGRASI
September,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,67.955,ANGKUTAN UMUM INTEGRASI
Oktober,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,67.955,ANGKUTAN UMUM INTEGRASI
November,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,72.684,ANGKUTAN UMUM INTEGRASI
Desember,2019,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,"74,377",ANGKUTAN UMUM INTEGRASI
Februari,2019,11T,PULO GEBANG - STASIUN CAKUNG,150,ANGKUTAN UMUM INTEGRASI
Mei ,2019,11T,PULO GEBANG - STASIUN CAKUNG,621,ANGKUTAN UMUM INTEGRASI
Juli,2019,11T,PULO GEBANG - STASIUN CAKUNG,750,ANGKUTAN UMUM INTEGRASI
Agustus,2019,11T,PULO GEBANG - STASIUN CAKUNG,815,ANGKUTAN UMUM INTEGRASI
September,2019,11T,PULO GEBANG - STASIUN CAKUNG,693,ANGKUTAN UMUM INTEGRASI
Oktober,2019,11T,PULO GEBANG - STASIUN CAKUNG,693,ANGKUTAN UMUM INTEGRASI
November,2019,11T,PULO GEBANG - STASIUN CAKUNG,846,ANGKUTAN UMUM INTEGRASI
Desember,2019,11T,PULO GEBANG - STASIUN CAKUNG,8,ANGKUTAN UMUM INTEGRASI
Februari,2019,11U,PULO GEBANG - CAKUNG - CILINCING,1569,ANGKUTAN UMUM INTEGRASI
Mei ,2019,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,6.908,ANGKUTAN UMUM INTEGRASI
Juli,2019,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,9.065,ANGKUTAN UMUM INTEGRASI
Agustus,2019,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,9.66,ANGKUTAN UMUM INTEGRASI
September,2019,11U,PULOGEBANG - STASIUN CAKUNG VIA CILINCING,9.398,ANGKUTAN UMUM INTEGRASI
Oktober,2019,11U,PULOGEBANG - STASIUN CAKUNG VIA CILINCING,9.398,ANGKUTAN UMUM INTEGRASI
November,2019,11U,PULOGEBANG - STASIUN CAKUNG VIA CILINCING,9.346,ANGKUTAN UMUM INTEGRASI
Desember,2019,11U,PULOGEBANG - STASIUN CAKUNG VIA CILINCING,"9,824",ANGKUTAN UMUM INTEGRASI
Januari,2019,12A,KOTA - PELABUHAN KALIADEM,7.54,ANGKUTAN UMUM INTEGRASI
Februari,2019,12A,KOTA - PELABUHAN KALIADEM,6662,ANGKUTAN UMUM INTEGRASI
Juli,2019,12A,KOTA - PELABUHAN KALIADEM,14.995,ANGKUTAN UMUM INTEGRASI
Agustus,2019,12A,KOTA - PELABUHAN KALIADEM,13.203,ANGKUTAN UMUM INTEGRASI
September,2019,12A,PELABUHAN KALIADEM - KOTA,13.934,ANGKUTAN UMUM INTEGRASI
Oktober,2019,12A,PELABUHAN KALIADEM - KOTA,13.934,ANGKUTAN UMUM INTEGRASI
November,2019,12A,PELABUHAN KALIADEM - KOTA,15.754,ANGKUTAN UMUM INTEGRASI
Desember,2019,12A,PELABUHAN KALIADEM - KOTA,"19,366",ANGKUTAN UMUM INTEGRASI
Januari,2019,12B,PLUIT - SENEN,31479,ANGKUTAN UMUM INTEGRASI
Februari,2019,12B,PLUIT - SENEN,28389,ANGKUTAN UMUM INTEGRASI
Juli,2019,12B,PLUIT - STASIUN SENEN,32.475,ANGKUTAN UMUM INTEGRASI
Agustus,2019,12B,PLUIT - STASIUN SENEN,35.602,ANGKUTAN UMUM INTEGRASI
September,2019,12B,PLUIT - STASIUN SENEN,40.464,ANGKUTAN UMUM INTEGRASI
Oktober,2019,12B,PLUIT - STASIUN SENEN,40.464,ANGKUTAN UMUM INTEGRASI
November,2019,12B,PLUIT - STASIUN SENEN,46.261,ANGKUTAN UMUM INTEGRASI
Desember,2019,12B,PLUIT - STASIUN SENEN,"47,85",ANGKUTAN UMUM INTEGRASI
Juli,2019,12E,HISTORY OF JAKARTA EXPLORER,10.295,ANGKUTAN UMUM INTEGRASI
Agustus,2019,12E,HISTORY OF JAKARTA EXPLORER,8.169,ANGKUTAN UMUM INTEGRASI
September,2019,12E,HISTORY OF JAKARTA EXPLORER,8.152,ANGKUTAN UMUM INTEGRASI
Oktober,2019,12E,HISTORY OF JAKARTA EXPLORER,8.152,ANGKUTAN UMUM INTEGRASI
November,2019,12E,HISTORY OF JAKARTA EXPLORER,9.219,ANGKUTAN UMUM INTEGRASI
Desember,2019,12E,HISTORY OF JAKARTA EXPLORER,"6,68",ANGKUTAN UMUM INTEGRASI
Juli,2019,12K,ASEMKA EXPLORER,10.844,ANGKUTAN UMUM INTEGRASI
Agustus,2019,12K,ASEMKA EXPLORER,9.042,ANGKUTAN UMUM INTEGRASI
September,2019,12K,ASEMKA EXPLORER,9.111,ANGKUTAN UMUM INTEGRASI
Oktober,2019,12K,ASEMKA EXPLORER,9.111,ANGKUTAN UMUM INTEGRASI
November,2019,12K,ASEMKA EXPLORER,9.927,ANGKUTAN UMUM INTEGRASI
Desember,2019,12K,ASEMKA EXPLORER,"7,104",ANGKUTAN UMUM INTEGRASI
Juli,2019,1M ,BLOK M - MERUYA,33.934,ANGKUTAN UMUM INTEGRASI
Agustus,2019,1M ,BLOK M - MERUYA,41.257,ANGKUTAN UMUM INTEGRASI
September,2019,1M ,BLOK M - MERUYA,46.245,ANGKUTAN UMUM INTEGRASI
Oktober,2019,1M ,BLOK M - MERUYA,46.245,ANGKUTAN UMUM INTEGRASI
November,2019,1M ,BLOK M - MERUYA,52.393,ANGKUTAN UMUM INTEGRASI
Desember,2019,1M ,BLOK M - MERUYA,"56,927",ANGKUTAN UMUM INTEGRASI
Maret,2019,DA1,DUKUH ATAS - RATULANGI,2473,ANGKUTAN UMUM INTEGRASI
April,2019,DA1,DUKUH ATAS - RATULANGI,4855,ANGKUTAN UMUM INTEGRASI
Mei ,2019,DA1,DUKUH ATAS - RATULANGI,5.286,ANGKUTAN UMUM INTEGRASI
Juni,2019,DA1,DUKUH ATAS - RATULANGI,8.171,ANGKUTAN UMUM INTEGRASI
Juli,2019,DA1,DUKUH ATAS - RATULANGI,9.622,ANGKUTAN UMUM INTEGRASI
Agustus,2019,DA1,DUKUH ATAS - RATULANGI,8.004,ANGKUTAN UMUM INTEGRASI
September,2019,DA1,DUKUH ATAS - SAM RATULANGI,6.906,ANGKUTAN UMUM INTEGRASI
Oktober,2019,DA1,DUKUH ATAS - SAM RATULANGI,6.906,ANGKUTAN UMUM INTEGRASI
November,2019,DA1,DUKUH ATAS - SAM RATULANGI,1.075,ANGKUTAN UMUM INTEGRASI
Desember,2019,DA1,DUKUH ATAS - SAM RATULANGI,101,ANGKUTAN UMUM INTEGRASI
Maret,2019,DA2,DUKUH ATAS - TANAH ABANG,2413,ANGKUTAN UMUM INTEGRASI
April,2019,DA2,DUKUH ATAS - TANAH ABANG,4682,ANGKUTAN UMUM INTEGRASI
Mei ,2019,DA2,DUKUH ATAS - TANAH ABANG,4.125,ANGKUTAN UMUM INTEGRASI
Juni,2019,DA2,DUKUH ATAS - TANAH ABANG,7.066,ANGKUTAN UMUM INTEGRASI
Juli,2019,DA2,DUKUH ATAS - TANAH ABANG,9.33,ANGKUTAN UMUM INTEGRASI
Agustus,2019,DA2,DUKUH ATAS - TANAH ABANG,8.037,ANGKUTAN UMUM INTEGRASI
September,2019,DA2,DUKUH ATAS - TANAH ABANG,8.244,ANGKUTAN UMUM INTEGRASI
Oktober,2019,DA2,DUKUH ATAS - TANAH ABANG,8.244,ANGKUTAN UMUM INTEGRASI
November,2019,DA2,DUKUH ATAS - TANAH ABANG,3.363,ANGKUTAN UMUM INTEGRASI
Desember,2019,DA2,DUKUH ATAS - TANAH ABANG,"4,103",ANGKUTAN UMUM INTEGRASI
Maret,2019,DA3,DUKUH ATAS - KUNINGAN,2724,ANGKUTAN UMUM INTEGRASI
April,2019,DA3,DUKUH ATAS - KUNINGAN,4757,ANGKUTAN UMUM INTEGRASI
Mei ,2019,DA3,DUKUH ATAS - KUNINGAN,4.887,ANGKUTAN UMUM INTEGRASI
Juni,2019,DA3,DUKUH ATAS - KUNINGAN,7.648,ANGKUTAN UMUM INTEGRASI
Juli,2019,DA3,DUKUH ATAS - KUNINGAN,8.573,ANGKUTAN UMUM INTEGRASI
Agustus,2019,DA3,DUKUH ATAS - KUNINGAN,7.886,ANGKUTAN UMUM INTEGRASI
September,2019,DA3,DUKUH ATAS - KUNINGAN,7.848,ANGKUTAN UMUM INTEGRASI
Oktober,2019,DA3,DUKUH ATAS - KUNINGAN,7.848,ANGKUTAN UMUM INTEGRASI
November,2019,DA3,DUKUH ATAS - KUNINGAN,13.931,ANGKUTAN UMUM INTEGRASI
Desember,2019,DA3,DUKUH ATAS - KUNINGAN,"13,716",ANGKUTAN UMUM INTEGRASI
Maret,2019,DA4,DUKUH ATAS - KOTA,2758,ANGKUTAN UMUM INTEGRASI
April,2019,DA4,DUKUH ATAS - KOTA,4951,ANGKUTAN UMUM INTEGRASI
Mei ,2019,DA4,DUKUH ATAS - KOTA,3.713,ANGKUTAN UMUM INTEGRASI
Juni,2019,DA4,DUKUH ATAS - KOTA,7.411,ANGKUTAN UMUM INTEGRASI
Juli,2019,DA4,DUKUH ATAS - KOTA,9.883,ANGKUTAN UMUM INTEGRASI
Agustus,2019,DA4,DUKUH ATAS - KOTA,8.517,ANGKUTAN UMUM INTEGRASI
September,2019,DA4,DUKUH ATAS - KOTA,8.071,ANGKUTAN UMUM INTEGRASI
Oktober,2019,DA4,DUKUH ATAS - KOTA,8.071,ANGKUTAN UMUM INTEGRASI
November,2019,DA4,DUKUH ATAS - KOTA,12.77,ANGKUTAN UMUM INTEGRASI
Desember,2019,DA4,DUKUH ATAS - KOTA,"16,27",ANGKUTAN UMUM INTEGRASI
Juli,2019,MR1,CSW - PAKUBUWONO,1.745,ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR1,CSW - PAKUBUWONO,2.753,ANGKUTAN UMUM INTEGRASI
September,2019,MR1,CSW - PAKUBUWONO,3.07,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR1,CSW - PAKUBUWONO,3.07,ANGKUTAN UMUM INTEGRASI
November,2019,MR1,CSW - PAKUBUWONO,1.884,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR1,CSW - PAKUBUWONO,"1,019",ANGKUTAN UMUM INTEGRASI
Juli,2019,MR2,CSW - KRAMAT PELA,10.984,ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR2,CSW - KRAMAT PELA,10.359,ANGKUTAN UMUM INTEGRASI
September,2019,MR2,CSW - KRAMAT PELA,10.423,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR2,CSW - KRAMAT PELA,10.423,ANGKUTAN UMUM INTEGRASI
November,2019,MR2,CSW - KRAMAT PELA,11.825,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR2,CSW - KRAMAT PELA,"9,604",ANGKUTAN UMUM INTEGRASI
Juli,2019,MR3,CSW - WIJAYA,2.751,ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR3,CSW - WIJAYA,3.991,ANGKUTAN UMUM INTEGRASI
September,2019,MR3,CSW - WIJAYA,4.104,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR3,CSW - WIJAYA,4.104,ANGKUTAN UMUM INTEGRASI
November,2019,MR3,CSW - WIJAYA,4.085,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR3,CSW - WIJAYA,"1,869",ANGKUTAN UMUM INTEGRASI
Juli,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,5.224,ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,5.725,ANGKUTAN UMUM INTEGRASI
September,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,6.859,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,6.859,ANGKUTAN UMUM INTEGRASI
November,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,6.285,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR5,STASIUN MRT BLOK A - RADIO DALAM,"6,57",ANGKUTAN UMUM INTEGRASI
Juli,2019,MR8,CIPETE - ANTASARI,5.711,ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR8,CIPETE - ANTASARI,6.278,ANGKUTAN UMUM INTEGRASI
September,2019,MR8,CIPETE - ANTASARI,6.896,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR8,CIPETE - ANTASARI,6.896,ANGKUTAN UMUM INTEGRASI
November,2019,MR8,CIPETE - ANTASARI,8.911,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR8,CIPETE - ANTASARI,"6,936",ANGKUTAN UMUM INTEGRASI
Agustus,2019,MR9,SOUTH QUARTER - LEBAK BULUS,2.851,ANGKUTAN UMUM INTEGRASI
September,2019,MR9,SOUTH QUARTER - LEBAK BULUS,8.244,ANGKUTAN UMUM INTEGRASI
Oktober,2019,MR9,SOUTH QUARTER - LEBAK BULUS,8.244,ANGKUTAN UMUM INTEGRASI
November,2019,MR9,SOUTH QUARTER - LEBAK BULUS,10.456,ANGKUTAN UMUM INTEGRASI
Desember,2019,MR9,SOUTH QUARTER - LEBAK BULUS,"10,527",ANGKUTAN UMUM INTEGRASI
Januari,2019,S23,BLOK M - REMPOA,26401,ANGKUTAN UMUM INTEGRASI
Februari,2019,S23,BLOK M - REMPOA,30548,ANGKUTAN UMUM INTEGRASI
Januari,2019,,GRATIS TENAGA KONTRAK DKI,15781,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS PENERIMA KJP,34689,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS KARYAWAN SWASTA TERTENTU,2682,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS PENGHUNI RUMAH SUSUN,24923,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS KTP KEPULAUAN SERIBU,773,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS PENERIMA RASKIN,1228,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS TNI/POLRI,3,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS PENYANDANG DISABILITAS,7543,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS LANSIA,394736,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS MARBOT,12,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS PAUD,6023,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,,GRATIS JUMANTIK,5992,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PNS DKI DAN PENSIUNAN PNS,40706,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS TENAGA KONTRAK DKI,18817,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PENERIMA KJP,38496,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS KARYAWAN SWASTA TERTENTU,2857,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PENGHUNI RUMAH SUSUN,24302,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS KTP KEPULAUAN SERIBU,717,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PENERIMA RASKIN,1718,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS TNI/POLRI,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
